통계표,수요부문(열),투입부문(행),단위,변환,2020,2021,2022,2023
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","운송서비스","명/십억원","원자료","0.573378","0.550439","0.483058","0.505368"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","음식점 및 숙박서비스","명/십억원","원자료","0.217481","0.183892","0.172932","0.194166"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","정보통신 및 방송 서비스","명/십억원","원자료","0.078538","0.067481","0.063872","0.066849"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","금융 및 보험 서비스","명/십억원","원자료","0.134208","0.126422","0.11058","0.100554"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","부동산서비스","명/십억원","원자료","0.040576","0.034982","0.032","0.036426"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","전문, 과학 및 기술 서비스","명/십억원","원자료","0.318044","0.297","0.25987","0.299568"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","사업지원서비스","명/십억원","원자료","0.283038","0.257322","0.225126","0.238167"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","공공행정, 국방 및 사회보장","명/십억원","원자료","0.009379","0.009947","0.012441","0.010827"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","교육서비스","명/십억원","원자료","0.008451","0.01394","0.010592","0.009846"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","보건 및 사회복지 서비스","명/십억원","원자료","0.02243","0.025237","0.022136","0.021305"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","예술, 스포츠 및 여가 관련 서비스","명/십억원","원자료","0.029792","0.025958","0.023103","0.023462"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","기타 서비스","명/십억원","원자료","0.097895","0.088244","0.078774","0.075431"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","기타","명/십억원","원자료","0","0","0","0"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","열합","명/십억원","원자료","7.894239","7.343705","6.254785","5.994757"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","농림수산품","명/십억원","원자료","0.261489","0.229802","0.231461","0.22683"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","광산품","명/십억원","원자료","0.002528","0.002041","0.003757","0.001521"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","음식료품","명/십억원","원자료","0.029968","0.028362","0.028373","0.028635"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","섬유 및 가죽제품","명/십억원","원자료","0.086232","0.073727","0.06177","0.03726"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","목재 및 종이, 인쇄","명/십억원","원자료","4.435903","3.813905","3.59471","3.685056"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","석탄 및 석유제품","명/십억원","원자료","0.0021","0.001934","0.001782","0.001704"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","화학제품","명/십억원","원자료","0.181266","0.165041","0.149248","0.15025"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","비금속광물제품","명/십억원","원자료","0.010439","0.009758","0.008288","0.006478"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","1차 금속제품","명/십억원","원자료","0.010112","0.009495","0.00837","0.008145"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","금속가공제품","명/십억원","원자료","0.073778","0.067765","0.058306","0.058836"
