통계표,수요부문(열),투입부문(행),단위,변환,2020,2021,2022,2023
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","농림수산품","","원자료","0.273384","0.283091","0.247873","0.241929"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","광산품","","원자료","0.001043","0.001046","0.001498","0.001095"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","음식료품","","원자료","1.184641","1.19064","1.199378","1.20355"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","섬유 및 가죽제품","","원자료","0.011077","0.012682","0.010914","0.007398"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","목재 및 종이, 인쇄","","원자료","0.041285","0.043345","0.041492","0.039977"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","석탄 및 석유제품","","원자료","0.020174","0.02338","0.028728","0.02326"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","화학제품","","원자료","0.075034","0.079508","0.075811","0.073279"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","비금속광물제품","","원자료","0.009359","0.007978","0.007769","0.008021"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","1차 금속제품","","원자료","0.009401","0.011676","0.011215","0.009801"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","금속가공제품","","원자료","0.023946","0.023967","0.02318","0.023785"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","컴퓨터, 전자 및 광학기기","","원자료","0.012346","0.011656","0.011777","0.011866"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","전기장비","","원자료","0.008926","0.009359","0.011597","0.011481"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","기계 및 장비","","원자료","0.006839","0.007139","0.007248","0.00636"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","운송장비","","원자료","0.009597","0.008928","0.009647","0.00956"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","기타 제조업 제품","","원자료","0.003151","0.002957","0.0032","0.003604"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","제조임가공 및 산업용 장비 수리","","원자료","0.045574","0.043019","0.0526","0.050873"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","전력, 가스 및 증기","","원자료","0.034529","0.037794","0.04564","0.049922"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","수도, 폐기물처리 및 재활용서비스","","원자료","0.011147","0.010295","0.010636","0.009644"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","건설","","원자료","0.004595","0.004687","0.003634","0.002997"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","도소매 및 상품중개서비스","","원자료","0.130278","0.129595","0.119303","0.125471"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","운송서비스","","원자료","0.067804","0.071189","0.069414","0.072254"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","음식점 및 숙박서비스","","원자료","0.015994","0.015217","0.018516","0.020398"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","정보통신 및 방송 서비스","","원자료","0.019161","0.018073","0.018392","0.018558"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","금융 및 보험 서비스","","원자료","0.033802","0.034728","0.035046","0.031478"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","부동산서비스","","원자료","0.016024","0.015367","0.014074","0.015081"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","전문, 과학 및 기술 서비스","","원자료","0.073679","0.072996","0.076988","0.093905"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","사업지원서비스","","원자료","0.023035","0.021666","0.023642","0.024683"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","공공행정, 국방 및 사회보장","","원자료","0.001868","0.00201","0.002542","0.002172"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","교육서비스","","원자료","0.000777","0.001234","0.001014","0.001031"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","보건 및 사회복지 서비스","","원자료","0.002285","0.002467","0.00265","0.002342"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","예술, 스포츠 및 여가 관련 서비스","","원자료","0.00243","0.002347","0.002888","0.002864"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","기타 서비스","","원자료","0.006227","0.005438","0.006294","0.006252"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","기타","","원자료","0.003281","0.002614","0.002948","0.002417"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","열합","","원자료","2.182694","2.208087","2.197547","2.207307"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","음식료품","영향력계수","","원자료","1.159479","1.168112","1.156493","1.167069"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","농림수산품","","원자료","0.005363","0.007323","0.006024","0.005393"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","광산품","","원자료","0.000445","0.00061","0.001002","0.000432"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","음식료품","","원자료","0.010565","0.016512","0.014671","0.012307"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","섬유 및 가죽제품","","원자료","1.209558","1.244894","1.232433","1.16111"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","목재 및 종이, 인쇄","","원자료","0.011996","0.013326","0.012651","0.011222"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","석탄 및 석유제품","","원자료","0.017059","0.020658","0.024856","0.019884"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","화학제품","","원자료","0.134179","0.137955","0.135302","0.128106"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","비금속광물제품","","원자료","0.002381","0.00267","0.002375","0.002014"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","1차 금속제품","","원자료","0.006244","0.008387","0.007636","0.006482"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","금속가공제품","","원자료","0.009606","0.009519","0.008605","0.008885"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","컴퓨터, 전자 및 광학기기","","원자료","0.010919","0.010854","0.010082","0.010073"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","전기장비","","원자료","0.008428","0.00953","0.010938","0.010737"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","기계 및 장비","","원자료","0.004162","0.004897","0.00469","0.00385"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","운송장비","","원자료","0.009808","0.010464","0.010252","0.009982"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","기타 제조업 제품","","원자료","0.003106","0.002575","0.002491","0.003124"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","제조임가공 및 산업용 장비 수리","","원자료","0.079961","0.093262","0.097493","0.093831"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","전력, 가스 및 증기","","원자료","0.031682","0.039819","0.04288","0.044804"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","수도, 폐기물처리 및 재활용서비스","","원자료","0.011684","0.018484","0.013926","0.010532"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","건설","","원자료","0.002978","0.003281","0.002569","0.002253"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","도소매 및 상품중개서비스","","원자료","0.134712","0.142598","0.130392","0.124654"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","운송서비스","","원자료","0.062457","0.067436","0.066349","0.069082"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","음식점 및 숙박서비스","","원자료","0.019924","0.018495","0.019919","0.022957"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","정보통신 및 방송 서비스","","원자료","0.018242","0.017766","0.016639","0.016245"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","금융 및 보험 서비스","","원자료","0.038353","0.039073","0.037583","0.033571"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","부동산서비스","","원자료","0.019221","0.017448","0.015257","0.01656"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","전문, 과학 및 기술 서비스","","원자료","0.0537","0.053069","0.048557","0.058462"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","사업지원서비스","","원자료","0.026908","0.024892","0.023426","0.026477"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","공공행정, 국방 및 사회보장","","원자료","0.001028","0.001194","0.00159","0.001391"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","교육서비스","","원자료","0.000759","0.00129","0.00102","0.000986"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","보건 및 사회복지 서비스","","원자료","0.002201","0.002518","0.002214","0.002111"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","예술, 스포츠 및 여가 관련 서비스","","원자료","0.002947","0.002919","0.003107","0.003243"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","기타 서비스","","원자료","0.005936","0.005681","0.005537","0.00565"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","기타","","원자료","0.001767","0.001528","0.00181","0.001516"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","열합","","원자료","1.958278","2.050928","2.014278","1.927923"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","영향력계수","","원자료","1.040267","1.084973","1.060045","1.01935"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","농림수산품","","원자료","0.012572","0.012647","0.011905","0.011939"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","광산품","","원자료","0.000843","0.000892","0.001722","0.000804"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","음식료품","","원자료","0.012774","0.01276","0.014465","0.014989"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","섬유 및 가죽제품","","원자료","0.027699","0.027241","0.027419","0.017145"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","목재 및 종이, 인쇄","","원자료","1.294556","1.309233","1.314747","1.28811"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","석탄 및 석유제품","","원자료","0.021152","0.023694","0.030038","0.024823"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","화학제품","","원자료","0.118742","0.129826","0.130227","0.121178"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","비금속광물제품","","원자료","0.004114","0.004001","0.003734","0.003238"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","1차 금속제품","","원자료","0.010901","0.01365","0.012691","0.011368"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","금속가공제품","","원자료","0.0233","0.023903","0.021775","0.023244"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","컴퓨터, 전자 및 광학기기","","원자료","0.017465","0.015276","0.014318","0.015908"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","전기장비","","원자료","0.01341","0.014171","0.016072","0.016254"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","기계 및 장비","","원자료","0.006879","0.007606","0.007134","0.006406"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","운송장비","","원자료","0.012431","0.011332","0.011341","0.011588"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","기타 제조업 제품","","원자료","0.002653","0.002926","0.002887","0.002954"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","제조임가공 및 산업용 장비 수리","","원자료","0.052541","0.052598","0.056093","0.057244"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","전력, 가스 및 증기","","원자료","0.067735","0.068794","0.076268","0.088224"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","수도, 폐기물처리 및 재활용서비스","","원자료","0.018035","0.024885","0.020271","0.018116"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","건설","","원자료","0.005187","0.005071","0.003951","0.003337"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","도소매 및 상품중개서비스","","원자료","0.115322","0.114091","0.106296","0.106478"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","운송서비스","","원자료","0.079591","0.080173","0.076303","0.080809"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","음식점 및 숙박서비스","","원자료","0.022089","0.020984","0.023206","0.026598"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","정보통신 및 방송 서비스","","원자료","0.024062","0.022908","0.022541","0.022721"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","금융 및 보험 서비스","","원자료","0.041947","0.0416","0.040069","0.036621"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","부동산서비스","","원자료","0.018196","0.017429","0.015561","0.016334"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","목재 및 종이, 인쇄","전문, 과학 및 기술 서비스","","원자료","0.058972","0.058493","0.054634","0.067739"
